Question,FOL Query
Is there a collision between the white car at the center and the brown car on the right?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Center)^TypeOf(y, Car)^ColorOf(y, Brown)^InitialLocation(y, Right)^Collide(x, y)"
Is there a sidewalk on the left of the white car?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(y, LeftOf)^InitialLocation(x, Near)"
Does the orange bus move at a constant speed and disappear from the scene?,"TypeOf(x, Bus)^ColorOf(x, Orange)^Vehicles(x)^ConstantSpeed(x)^Disappear(x)"
Can you spot another car on the right?,"TypeOf(x, Car)^ColorOf(x, Any)^InitialLocation(x, Right)"
Does the distance between the person and the white car decrease?,"Pedestrian(y)^TypeOf(x, Car)^ColorOf(x, White)^DistanceDecrease(x, y)"
Is there a pedestrian on the right?,"Pedestrian(x)^InitialLocation(x, NearRight)"
Does the police car at the center come close to the motorcycle?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^TypeOf(y, Motorcycle)^ComeClose(x, y)"
Can you spot a red fire truck on the left?,"TypeOf(x, Truck)^ColorOf(x, Red)^TypeOf(x, FireTruck)^InitialLocation(x, NearLeft)"
Does the black SUV disappear from the right?,"TypeOf(x, SUV)^ColorOf(x, Black)^Disappear(x)^LastLocation(x, NearRight)"
Does the gray van on the right disappear from the scene?,"TypeOf(x, Van)^ColorOf(x, Gray)^Disappear(x)"
Is there a pedestrian on the right walking at a fixed pace?,"Pedestrian(x)^FixedPace(x)^InitialLocation(x, NearRight)"
Can you spot traffic signs in the front?,"IsTrafficSign(x)^InitialLocation(x, NearFront)"
Does a pedestrian near the left increase pace and disappear from the scene?,"Pedestrian(x)^IncreasePace(x)^Disappear(x)^InitialLocation(x, Left)"
Does the police car move at a constant speed?,"TypeOf(x, PoliceCar)^Vehicles(x)^ConstantSpeed(x)"
Is there a grey truck on the right?,"TypeOf(x, Truck)^ColorOf(x, Gray)^InitialLocation(x, NearRight)"
Is the red SUV that disappears from the scene on the right of the white car?,"TypeOf(x, SUV)^ColorOf(x, Red)^Disappear(x)^TypeOf(y, Car)^ColorOf(y, White)^OnRight(x, y)"
Does the distance between the white car and the black car on the left decrease?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(x, NearLeft)^DistanceDecrease(x, y)"
Can you spot a person on the right of the scene?,"IsPedestrian(x)^InitialLocation(x, NearRight)"
Is there a person on the left of the police car?,"TypeOf(y, PoliceCar)^IsPerson(x)^InitialLocation(y, Left)^InitialLocation(x, Left)"
Does a person move at a constant speed?,Pedestrian(x)^NotAccelerate(x)^NotDecelerate(x)^FixedPace(x)
Can you spot a person on the right riding a motorcycle?,"Pedestrian(x)^Ride(x, y)^TypeOf(y, Motorcycle)^OnRight(y)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)^Move(x)"
Can you spot a police car at the center of the scene?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the position of the pedestrian in the frame change from front to left?,"Pedestrian(x)^InitialLocation(x, Front)^LastLocation(x, Left)"
Can you spot a pedestrian walking near the right of the scene?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)"
Does the police car move at a constant speed?,"TypeOf(x, PoliceCar)^ConstantSpeed(x)"
Is there a motorcycle on the right?,"TypeOf(x, Motorcycle)^InitialLocation(x, NearRight)"
Does the police car get close to traffic lights at an intersection?,"TypeOf(x, PoliceCar)^IsCar(x)^InitialLocation(x, NearFront)^Trafficlight(y)^InitialLocation(y, NearFront)^ComeClose(x, y)"
Are there some black cars on the right?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Right)"
Can you spot a person on the left of the scene moving at a constant speed?,"Pedestrian(x)^Moving(x)^ConstantSpeed(x)^InitialLocation(x, Left)"
Does the blue car disappear?,"TypeOf(x, Car)^ColorOf(x, Blue)^Disappear(x)"
Is there a person visible in front of the police car?,"TypeOf(y, PoliceCar)^TypeOf(x, Person)^Pedestrian(x)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
